location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-09-02,2025-09-04,2025-09-03
NSW,RSV,2025-09-02,2025-09-04,2025-09-03
NT,RSV,2025-08-29,2025-09-04,2025-09-03
NZ,RSV,NA,NA,NA
QLD,RSV,2025-09-01,2025-09-04,2025-09-03
SA,RSV,2025-09-02,2025-09-04,2025-09-03
TAS,RSV,2025-08-28,2025-09-04,2025-09-03
VIC,RSV,2025-09-02,2025-09-04,2025-09-03
WA,RSV,2025-09-02,2025-09-04,2025-09-03
ACT,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
NSW,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
NT,SARSCOV2,2025-08-28,2025-09-04,2025-09-03
NZ,SARSCOV2,2025-08-27,2025-09-04,2025-08-31
QLD,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
SA,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
TAS,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
VIC,SARSCOV2,2025-09-02,2025-09-04,2025-09-03
WA,SARSCOV2,2025-08-29,2025-09-04,2025-09-03
ACT,flu,2025-09-02,2025-09-04,2025-09-03
NSW,flu,2025-09-02,2025-09-04,2025-09-03
NT,flu,2025-08-29,2025-09-04,2025-09-03
NZ,flu,NA,NA,NA
QLD,flu,2025-09-01,2025-09-04,2025-09-03
SA,flu,2025-09-02,2025-09-04,2025-09-03
TAS,flu,2025-09-02,2025-09-04,2025-09-03
VIC,flu,2025-09-02,2025-09-04,2025-09-03
WA,flu,2025-09-02,2025-09-04,2025-09-03
NZ,RSV_NZhosp,2025-08-24,2025-09-04,2025-08-28
NZ,SARSCOV2_NZhosp,2025-08-22,2025-09-04,2025-08-31
NZ,flu_NZhosp,2025-08-24,2025-09-04,2025-08-28
